time,all_num_新和成,all_dic_score,新和成舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-01-29,6,6.00,1.00,6,6.00,0,0.00
2022-01-30,2,2.00,1.00,2,2.00,0,0.00
2022-01-31,2,2.00,1.00,2,2.00,0,0.00
2022-02-01,3,3.00,1.00,3,3.00,0,0.00
2022-02-02,2,2.00,1.00,2,2.00,0,0.00
2022-02-03,1,1.00,1.00,1,1.00,0,0.00
2022-02-04,1,-1.00,-1.00,0,0.00,1,-1.00
2022-02-05,2,0.00,0.37,1,1.00,1,-1.00
2022-02-06,2,0.00,0.24,1,1.00,1,-1.00
2022-02-07,12,4.00,0.67,8,8.00,4,-4.00
2022-02-08,30,14.00,0.61,22,22.00,8,-8.00
2022-02-09,49,35.00,0.82,42,42.00,7,-7.00
2022-02-10,27,13.00,0.73,20,20.00,7,-7.00
2022-02-11,19,9.00,0.46,14,14.00,5,-5.00
2022-02-12,7,5.00,0.67,6,6.00,1,-1.00
2022-02-13,17,15.00,0.95,16,16.00,1,-1.00
2022-02-14,77,25.00,0.43,51,51.00,26,-26.00
2022-02-15,30,16.00,0.64,23,23.00,7,-7.00
2022-02-16,38,-2.00,-0.03,18,18.00,20,-20.00
2022-02-17,18,8.00,0.56,13,13.00,5,-5.00
2022-02-18,48,24.00,0.51,36,36.00,12,-12.00
2022-02-19,14,12.00,0.92,13,13.00,1,-1.00
2022-02-20,11,5.00,0.77,8,8.00,3,-3.00
2022-02-21,40,10.00,0.60,25,25.00,15,-15.00
2022-02-22,33,11.00,0.58,22,22.00,11,-11.00
2022-02-23,46,30.00,0.76,38,38.00,8,-8.00
2022-02-24,43,15.00,0.74,29,29.00,14,-14.00
2022-02-25,39,13.00,0.62,26,26.00,13,-13.00
2022-02-26,1,1.00,1.00,1,1.00,0,0.00
2022-02-27,8,6.00,0.86,7,7.00,1,-1.00
2022-02-28,61,27.00,0.55,44,44.00,17,-17.00
2022-03-01,72,38.00,0.73,55,55.00,17,-17.00
2022-03-02,39,23.00,0.65,31,31.00,8,-8.00
2022-03-03,40,20.00,0.74,30,30.00,10,-10.00
2022-03-04,23,9.00,0.45,16,16.00,7,-7.00
2022-03-05,3,3.00,1.00,3,3.00,0,0.00
2022-03-06,14,2.00,0.53,8,8.00,6,-6.00
2022-03-07,32,10.00,0.10,21,21.00,11,-11.00
2022-03-08,33,19.00,0.76,26,26.00,7,-7.00
2022-03-09,39,15.00,0.50,27,27.00,12,-12.00
2022-03-10,31,11.00,0.58,21,21.00,10,-10.00
2022-03-11,48,24.00,0.60,36,36.00,12,-12.00
2022-03-12,15,13.00,0.90,14,14.00,1,-1.00
2022-03-13,5,5.00,1.00,5,5.00,0,0.00
2022-03-14,54,14.00,0.49,34,34.00,20,-20.00
2022-03-15,61,11.00,0.29,36,36.00,25,-25.00
2022-03-16,80,26.00,0.44,53,53.00,27,-27.00
2022-03-17,121,27.00,0.39,74,74.00,47,-47.00
2022-03-18,56,0.00,0.51,28,28.00,28,-28.00
2022-03-19,4,2.00,0.68,3,3.00,1,-1.00
2022-03-20,9,7.00,0.77,8,8.00,1,-1.00
2022-03-21,39,3.00,0.25,21,21.00,18,-18.00
2022-03-22,25,17.00,0.74,21,21.00,4,-4.00
2022-03-23,52,2.00,0.07,27,27.00,25,-25.00
2022-03-24,46,20.00,0.57,33,33.00,13,-13.00
2022-03-25,62,20.00,0.36,41,41.00,21,-21.00
2022-03-26,8,4.00,0.72,6,6.00,2,-2.00
2022-03-27,6,2.00,0.47,4,4.00,2,-2.00
2022-03-28,25,5.00,0.23,15,15.00,10,-10.00
2022-03-29,15,5.00,0.63,10,10.00,5,-5.00
2022-03-30,52,24.00,0.46,38,38.00,14,-14.00
2022-03-31,39,13.00,0.55,26,26.00,13,-13.00
2022-04-01,59,27.00,0.49,43,43.00,16,-16.00
2022-04-02,6,2.00,0.70,4,4.00,2,-2.00
2022-04-03,2,0.00,0.40,1,1.00,1,-1.00
