time,all_num_保利发展,all_dic_score,保利发展舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-02-08,30,18.00,0.72,24,24.00,6,-6.00
2022-02-09,71,25.00,0.34,48,48.00,23,-23.00
2022-02-10,105,49.00,0.52,77,77.00,28,-28.00
2022-02-11,48,22.00,0.55,35,35.00,13,-13.00
2022-02-12,11,9.00,0.83,10,10.00,1,-1.00
2022-02-13,13,5.00,0.79,9,9.00,4,-4.00
2022-02-14,30,18.00,0.69,24,24.00,6,-6.00
2022-02-15,43,19.00,0.68,31,31.00,12,-12.00
2022-02-16,45,25.00,0.57,35,35.00,10,-10.00
2022-02-17,49,23.00,0.52,36,36.00,13,-13.00
2022-02-18,76,34.00,0.49,55,55.00,21,-21.00
2022-02-19,8,4.00,0.18,6,6.00,2,-2.00
2022-02-20,10,6.00,0.71,8,8.00,2,-2.00
2022-02-21,31,11.00,0.30,21,21.00,10,-10.00
2022-02-22,38,18.00,0.48,28,28.00,10,-10.00
2022-02-23,39,13.00,0.42,26,26.00,13,-13.00
2022-02-24,26,12.00,0.55,19,19.00,7,-7.00
2022-02-25,43,25.00,0.62,34,34.00,9,-9.00
2022-02-26,6,2.00,0.47,4,4.00,2,-2.00
2022-02-27,5,3.00,0.75,4,4.00,1,-1.00
2022-02-28,35,9.00,0.34,22,22.00,13,-13.00
2022-03-01,45,15.00,0.35,30,30.00,15,-15.00
2022-03-02,73,27.00,0.34,50,50.00,23,-23.00
2022-03-03,82,32.00,0.48,57,57.00,25,-25.00
2022-03-04,39,19.00,0.48,29,29.00,10,-10.00
2022-03-05,7,3.00,0.41,5,5.00,2,-2.00
2022-03-06,13,9.00,0.71,11,11.00,2,-2.00
2022-03-07,78,34.00,0.51,56,56.00,22,-22.00
2022-03-08,43,19.00,0.62,31,31.00,12,-12.00
2022-03-09,55,27.00,0.54,41,41.00,14,-14.00
2022-03-10,52,30.00,0.65,41,41.00,11,-11.00
2022-03-11,33,11.00,0.59,22,22.00,11,-11.00
2022-03-12,8,8.00,1.00,8,8.00,0,0.00
2022-03-13,9,5.00,0.72,7,7.00,2,-2.00
2022-03-14,63,9.00,0.28,36,36.00,27,-27.00
2022-03-15,158,40.00,0.34,99,99.00,59,-59.00
2022-03-16,102,34.00,0.42,68,68.00,34,-34.00
2022-03-17,70,20.00,0.07,45,45.00,25,-25.00
2022-03-18,139,55.00,0.45,97,97.00,42,-42.00
2022-03-19,24,4.00,0.06,14,14.00,10,-10.00
2022-03-20,22,8.00,0.48,15,15.00,7,-7.00
2022-03-21,59,37.00,0.68,48,48.00,11,-11.00
2022-03-22,77,31.00,0.69,54,54.00,23,-23.00
2022-03-23,76,34.00,0.54,55,55.00,21,-21.00
2022-03-24,32,22.00,0.73,27,27.00,5,-5.00
2022-03-25,31,15.00,0.58,23,23.00,8,-8.00
2022-03-26,7,5.00,0.82,6,6.00,1,-1.00
2022-03-27,7,1.00,0.04,4,4.00,3,-3.00
2022-03-28,29,5.00,0.45,17,17.00,12,-12.00
2022-03-29,26,16.00,0.71,21,21.00,5,-5.00
2022-03-30,94,44.00,0.53,69,69.00,25,-25.00
2022-03-31,79,33.00,0.55,56,56.00,23,-23.00
2022-04-01,70,12.00,0.33,41,41.00,29,-29.00
2022-04-02,7,5.00,0.73,6,6.00,1,-1.00
2022-04-03,5,5.00,1.00,5,5.00,0,0.00
2022-04-04,11,5.00,0.66,8,8.00,3,-3.00
2022-04-05,8,8.00,1.00,8,8.00,0,0.00
2022-04-06,67,31.00,0.61,49,49.00,18,-18.00
2022-04-07,42,12.00,0.39,27,27.00,15,-15.00
2022-04-08,31,11.00,0.50,21,21.00,10,-10.00
2022-04-09,11,9.00,0.90,10,10.00,1,-1.00
2022-04-10,7,3.00,0.38,5,5.00,2,-2.00
2022-04-11,39,21.00,0.37,30,30.00,9,-9.00
2022-04-12,81,37.00,0.56,59,59.00,22,-22.00
2022-04-13,53,11.00,0.33,32,32.00,21,-21.00
2022-04-14,114,48.00,0.60,81,81.00,33,-33.00
2022-04-15,87,55.00,0.69,71,71.00,16,-16.00
2022-04-16,14,12.00,0.96,13,13.00,1,-1.00
2022-04-17,22,6.00,0.49,14,14.00,8,-8.00
2022-04-18,119,59.00,0.66,89,89.00,30,-30.00
2022-04-19,72,42.00,0.80,57,57.00,15,-15.00
2022-04-20,112,42.00,0.54,77,77.00,35,-35.00
2022-04-21,73,33.00,0.66,53,53.00,20,-20.00
2022-04-22,64,26.00,0.64,45,45.00,19,-19.00
2022-04-23,9,7.00,0.88,8,8.00,1,-1.00
2022-04-24,9,7.00,0.87,8,8.00,1,-1.00
2022-04-25,37,19.00,0.51,28,28.00,9,-9.00
