time,all_num_中国化学,all_dic_score,中国化学舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022/6/12,8,6,0.73,7,7,1,-1
2022/6/13,25,9,0.46,17,17,8,-8
2022/6/14,82,20,0.22,51,51,31,-31
2022/6/15,57,37,0.74,47,47,10,-10
2022/6/16,45,9,0.54,27,27,18,-18
2022/6/17,36,16,0.49,26,26,10,-10
2022/6/18,5,3,0.42,4,4,1,-1
2022/6/19,8,2,0.16,5,5,3,-3
2022/6/20,69,23,0.52,46,46,23,-23
2022/6/21,22,0,0.08,11,11,11,-11
2022/6/22,42,10,0.52,26,26,16,-16
2022/6/23,58,8,0.17,33,33,25,-25
2022/6/24,101,27,0.3,64,64,37,-37
2022/6/25,9,3,0.5,6,6,3,-3
2022/6/26,5,3,0.92,4,4,1,-1
2022/6/27,52,28,0.72,40,40,12,-12
2022/6/28,47,17,0.5,32,32,15,-15
2022/6/29,39,17,0.46,28,28,11,-11
2022/6/30,60,24,0.45,42,42,18,-18
