time,all_num_康龙化成,all_dic_score,康龙化成舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-01-21,30,0.00,0.11,15,15.00,15,-15.00
2022-01-22,6,4.00,0.87,5,5.00,1,-1.00
2022-01-23,11,7.00,0.79,9,9.00,2,-2.00
2022-01-24,39,23.00,0.81,31,31.00,8,-8.00
2022-01-25,37,3.00,0.53,20,20.00,17,-17.00
2022-01-26,101,17.00,0.28,59,59.00,42,-42.00
2022-01-27,30,12.00,0.73,21,21.00,9,-9.00
2022-01-28,24,6.00,0.47,15,15.00,9,-9.00
2022-01-30,2,2.00,1.00,2,2.00,0,0.00
2022-01-31,2,2.00,1.00,2,2.00,0,0.00
2022-02-02,1,1.00,1.00,1,1.00,0,0.00
2022-02-04,2,2.00,1.00,2,2.00,0,0.00
2022-02-06,1,-1.00,-1.00,0,0.00,1,-1.00
2022-02-07,11,5.00,0.78,8,8.00,3,-3.00
2022-02-08,52,4.00,0.15,28,28.00,24,-24.00
2022-02-09,10,0.00,0.06,5,5.00,5,-5.00
2022-02-10,24,6.00,0.40,15,15.00,9,-9.00
2022-02-11,30,4.00,0.12,17,17.00,13,-13.00
2022-02-12,3,1.00,0.19,2,2.00,1,-1.00
2022-02-13,7,3.00,0.63,5,5.00,2,-2.00
2022-02-14,12,4.00,0.24,8,8.00,4,-4.00
2022-02-15,34,10.00,0.64,22,22.00,12,-12.00
2022-02-16,6,4.00,0.22,5,5.00,1,-1.00
2022-02-17,14,2.00,-0.00,8,8.00,6,-6.00
2022-02-18,14,2.00,0.05,8,8.00,6,-6.00
2022-02-20,4,4.00,1.00,4,4.00,0,0.00
2022-02-21,12,-2.00,-0.11,5,5.00,7,-7.00
2022-02-22,7,3.00,0.46,5,5.00,2,-2.00
2022-02-23,8,2.00,0.22,5,5.00,3,-3.00
2022-02-24,11,7.00,0.66,9,9.00,2,-2.00
2022-02-25,11,9.00,0.71,10,10.00,1,-1.00
2022-02-26,1,1.00,1.00,1,1.00,0,0.00
2022-02-27,3,1.00,0.19,2,2.00,1,-1.00
2022-02-28,5,3.00,0.76,4,4.00,1,-1.00
2022-03-01,9,3.00,0.36,6,6.00,3,-3.00
2022-03-02,31,9.00,0.35,20,20.00,11,-11.00
2022-03-03,21,3.00,0.11,12,12.00,9,-9.00
2022-03-04,7,3.00,0.61,5,5.00,2,-2.00
2022-03-05,2,2.00,1.00,2,2.00,0,0.00
2022-03-06,4,4.00,1.00,4,4.00,0,0.00
2022-03-07,17,7.00,0.36,12,12.00,5,-5.00
2022-03-08,11,3.00,0.35,7,7.00,4,-4.00
2022-03-09,33,7.00,0.28,20,20.00,13,-13.00
