time,all_num_迈为股份,all_dic_score,迈为股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-05-09,2,-2.00,-1.00,0,0.00,2,-2.00
2021-05-10,31,3.00,-0.14,17,17.00,14,-14.00
2021-05-11,29,1.00,0.19,15,15.00,14,-14.00
2021-05-12,12,0.00,-0.13,6,6.00,6,-6.00
2021-05-13,18,4.00,0.29,11,11.00,7,-7.00
2021-05-14,38,-12.00,-0.27,13,13.00,25,-25.00
2021-05-15,3,1.00,0.38,2,2.00,1,-1.00
2021-05-16,4,0.00,0.09,2,2.00,2,-2.00
2021-05-17,41,5.00,0.35,23,23.00,18,-18.00
2021-05-18,55,-5.00,0.01,25,25.00,30,-30.00
2021-05-19,46,-6.00,-0.29,20,20.00,26,-26.00
2021-05-20,60,-16.00,-0.33,22,22.00,38,-38.00
2021-05-21,45,-23.00,-0.72,11,11.00,34,-34.00
2021-05-22,3,-1.00,-0.43,1,1.00,2,-2.00
2021-05-23,4,2.00,0.18,3,3.00,1,-1.00
2021-05-24,63,-13.00,-0.23,25,25.00,38,-38.00
2021-05-25,37,-13.00,-0.85,12,12.00,25,-25.00
2021-05-26,31,-15.00,-0.50,8,8.00,23,-23.00
2021-05-27,38,0.00,0.04,19,19.00,19,-19.00
2021-05-28,51,-17.00,-0.31,17,17.00,34,-34.00
2021-05-29,9,1.00,0.33,5,5.00,4,-4.00
2021-05-30,8,0.00,-0.13,4,4.00,4,-4.00
2021-05-31,41,13.00,-0.10,27,27.00,14,-14.00
2021-06-01,25,-3.00,0.66,11,11.00,14,-14.00
2021-06-02,37,-17.00,-0.17,10,10.00,27,-27.00
2021-06-03,26,4.00,0.20,15,15.00,11,-11.00
2021-06-04,18,6.00,0.60,12,12.00,6,-6.00
2021-06-06,1,1.00,1.00,1,1.00,0,0.00
2021-06-07,36,-6.00,-0.25,15,15.00,21,-21.00
2021-06-08,23,-5.00,-0.59,9,9.00,14,-14.00
2021-06-09,17,-1.00,-0.49,8,8.00,9,-9.00
2021-06-10,29,1.00,-0.08,15,15.00,14,-14.00
2021-06-11,35,5.00,0.14,20,20.00,15,-15.00
2021-06-12,1,-1.00,-1.00,0,0.00,1,-1.00
2021-06-13,1,-1.00,-1.00,0,0.00,1,-1.00
2021-06-14,6,6.00,1.00,6,6.00,0,0.00
2021-06-15,18,2.00,-0.04,10,10.00,8,-8.00
2021-06-16,34,-10.00,-0.24,12,12.00,22,-22.00
2021-06-17,29,7.00,0.32,18,18.00,11,-11.00
2021-06-18,33,-9.00,-0.02,12,12.00,21,-21.00
2021-06-19,5,-1.00,-0.05,2,2.00,3,-3.00
2021-06-20,5,5.00,1.00,5,5.00,0,0.00
2021-06-21,30,-2.00,-0.07,14,14.00,16,-16.00
2021-06-22,39,-9.00,-0.29,15,15.00,24,-24.00
2021-06-23,32,-2.00,-0.24,15,15.00,17,-17.00
2021-06-24,42,4.00,0.29,23,23.00,19,-19.00
2021-06-25,46,0.00,0.04,23,23.00,23,-23.00
2021-06-26,4,-2.00,-0.52,1,1.00,3,-3.00
2021-06-27,4,2.00,0.54,3,3.00,1,-1.00
