time,all_num_东方雨虹,all_dic_score,东方雨虹舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-05-18,42,-6.00,-0.05,18,18.00,24,-24.00
2021-05-19,46,-8.00,-0.16,19,19.00,27,-27.00
2021-05-20,57,1.00,0.11,29,29.00,28,-28.00
2021-05-21,49,11.00,0.47,30,30.00,19,-19.00
2021-05-22,7,-1.00,0.17,3,3.00,4,-4.00
2021-05-23,13,5.00,0.64,9,9.00,4,-4.00
2021-05-24,75,-7.00,0.00,34,34.00,41,-41.00
2021-05-25,74,2.00,0.52,38,38.00,36,-36.00
2021-05-26,59,1.00,0.10,30,30.00,29,-29.00
2021-05-27,143,3.00,0.12,73,73.00,70,-70.00
